Index,Offset,Hex,R,G,B,A,H,S,V
0,0,#F7F7F7,247,247,247,255,0.0,0.000,0.969
1,1,#E7E7E7,231,231,231,255,0.0,0.000,0.906
2,2,#D3D3D3,211,211,211,255,0.0,0.000,0.827
3,3,#B3B3B3,179,179,179,255,0.0,0.000,0.702
4,4,#878787,135,135,135,255,0.0,0.000,0.529
5,5,#5C5C5C,92,92,92,255,0.0,0.000,0.361
6,6,#3B3B3B,59,59,59,255,0.0,0.000,0.231
7,7,#262626,38,38,38,255,0.0,0.000,0.149
8,8,#FCF9EB,252,249,235,255,49.4,0.067,0.988
9,9,#FAF7DF,250,247,223,255,53.3,0.108,0.980
10,10,#F0EACB,240,234,203,255,50.3,0.154,0.941
11,11,#D7CFAF,215,207,175,255,48.0,0.186,0.843
12,12,#B9AF90,185,175,144,255,45.4,0.222,0.725
13,13,#998C70,153,140,112,255,41.0,0.268,0.600
14,14,#7B6B52,123,107,82,255,36.6,0.333,0.482
15,15,#63513A,99,81,58,255,33.7,0.414,0.388
16,16,#FAF6E1,250,246,225,255,50.4,0.100,0.980
17,17,#F7F0CF,247,240,207,255,49.5,0.162,0.969
18,18,#EDE2B6,237,226,182,255,48.0,0.232,0.929
19,19,#D4C89B,212,200,155,255,47.4,0.269,0.831
20,20,#B7A981,183,169,129,255,44.4,0.295,0.718
21,21,#978764,151,135,100,255,41.2,0.338,0.592
22,22,#7A6849,122,104,73,255,38.0,0.402,0.478
23,23,#634F33,99,79,51,255,35.0,0.485,0.388
24,24,#F9F1D4,249,241,212,255,47.0,0.149,0.976
25,25,#F4E8BB,244,232,187,255,47.4,0.234,0.957
26,26,#E9D79B,233,215,155,255,46.2,0.335,0.914
27,27,#D1BD82,209,189,130,255,44.8,0.378,0.820
28,28,#B49F6B,180,159,107,255,42.7,0.406,0.706
29,29,#957F53,149,127,83,255,40.0,0.443,0.584
30,30,#78613D,120,97,61,255,36.6,0.492,0.471
31,31,#614A2C,97,74,44,255,34.0,0.546,0.380
32,32,#F5E9C7,245,233,199,255,44.3,0.188,0.961
33,33,#F0DDA7,240,221,167,255,44.4,0.304,0.941
34,34,#E2C982,226,201,130,255,44.4,0.425,0.886
35,35,#CBAF69,203,175,105,255,42.9,0.483,0.796
36,36,#AE9357,174,147,87,255,41.4,0.500,0.682
37,37,#907644,144,118,68,255,39.5,0.528,0.565
38,38,#745A32,116,90,50,255,36.4,0.569,0.455
39,39,#5E4524,94,69,36,255,34.1,0.617,0.369
40,40,#F2E2BC,242,226,188,255,42.2,0.223,0.949
41,41,#EBD296,235,210,150,255,42.4,0.362,0.922
42,42,#DCBA6C,220,186,108,255,41.8,0.509,0.863
43,43,#C4A154,196,161,84,255,41.2,0.571,0.769
44,44,#A98746,169,135,70,255,39.4,0.586,0.663
